mapa,semente,padrao,nivel,n_pivos,n_instancias,exp_orig,exp_deg_fresco,exp_deg_congelado,delta_fresco,delta_congelado
brc000d,42,Radial,0.2,20,296,213.1757,381.6791,1359.9595,1.7904,6.3795
brc000d,42,Radial,0.2,50,296,186.8007,224.4324,1343.0709,1.2015,7.1899
brc000d,42,Radial,0.2,100,296,165.4527,182.8311,1328.7905,1.105,8.0312
brc000d,42,Radial,0.3,10,296,308.0743,1201.973,1509.9561,3.9016,4.9013
brc000d,42,Radial,0.3,20,296,213.1757,411.3378,1454.625,1.9296,6.8236
brc000d,42,Radial,0.3,50,296,186.8007,236.9764,1440.2838,1.2686,7.7103
brc000d,42,Radial,0.3,100,296,165.4527,188.5372,1427.3412,1.1395,8.6269
brc000d,42,Linear,0.1,10,7,11.2857,32.2857,10.1429,2.8608,0.8987
brc000d,42,Linear,0.1,20,7,11.2857,40.1429,10.1429,3.557,0.8987
brc000d,42,Linear,0.1,50,7,11.2857,27.7143,10.1429,2.4557,0.8987
brc000d,42,Linear,0.1,100,7,11.2857,11.7143,10.1429,1.038,0.8987
brc000d,42,Linear,0.2,10,7,11.2857,28.7143,10.1429,2.5443,0.8987
brc000d,42,Linear,0.2,20,7,11.2857,39.4286,10.1429,3.4937,0.8987
brc000d,42,Linear,0.2,50,7,11.2857,27.8571,10.1429,2.4684,0.8987
