mapa,semente,n_pivos,tempo_precomp_ms,n_pivos_gerados,pivos_fora_maior_comp,primeiro_pivo_fora,frac_consultas_h_zero,h_medio
den000d,123,20,31.748637,20,0,0,0.001527,325.070992
den000d,123,50,79.543343,50,0,0,0.001527,327.898473
den000d,123,100,170.266090,100,0,0,0.001527,328.432824
den000d,456,10,21.027941,10,0,0,0.001527,321.683206
den000d,456,20,31.724301,20,0,0,0.001527,324.730534
den000d,456,50,80.301661,50,0,0,0.001527,327.904580
den000d,456,100,170.625161,100,0,0,0.001527,328.313740
den000d,789,10,21.303045,10,0,0,0.001527,321.438931
den000d,789,20,31.930707,20,0,0,0.001527,324.199237
den000d,789,50,79.691721,50,0,0,0.001527,327.345802
den000d,789,100,170.969575,100,0,0,0.001527,328.428244
den000d,1011,10,21.420374,10,0,0,0.001527,320.667939
den000d,1011,20,31.762733,20,0,0,0.001527,325.031298
den000d,1011,50,81.095294,50,0,0,0.001527,328.037405
den000d,1011,100,172.006273,100,0,0,0.001527,328.464885
den005d,42,10,9.170559,10,0,0,0.000667,317.792667
den005d,42,20,11.831372,20,0,0,0.000667,320.570000
den005d,42,50,29.839359,50,0,0,0.000667,321.688667
den005d,42,100,59.018493,100,0,0,0.000667,322.259333
den005d,123,10,6.258286,10,0,0,0.001333,318.006000
den005d,123,20,11.739811,20,0,0,0.000667,320.618000
den005d,123,50,29.556059,50,0,0,0.000667,321.767333
den005d,123,100,59.798952,100,0,0,0.000667,322.264667
den005d,456,10,6.506641,10,0,0,0.000667,316.460667
den005d,456,20,11.603477,20,0,0,0.000667,320.630000
den005d,456,50,29.319587,50,0,0,0.000667,321.582000
den005d,456,100,59.283599,100,0,0,0.000667,322.303333
den005d,789,10,6.191642,10,0,0,0.000667,318.868667
den005d,789,20,11.572187,20,0,0,0.000667,320.131333
den005d,789,50,29.463998,50,0,0,0.000667,321.786000
den005d,789,100,59.850198,100,0,0,0.000667,322.247333
den005d,1011,10,6.277743,10,0,0,0.000667,318.866000
den005d,1011,20,11.979079,20,0,0,0.000667,320.444667
den005d,1011,50,29.682615,50,0,0,0.000667,321.707333
den005d,1011,100,59.341156,100,0,0,0.000667,322.262000
den011d,42,10,5.203094,10,0,0,0.000000,166.873333
den011d,42,20,8.842236,20,0,0,0.000000,167.561333
den011d,42,50,22.084174,50,0,0,0.000000,168.177333
den011d,42,100,44.557066,100,0,0,0.000000,168.462667
den011d,123,10,4.641144,10,0,0,0.000000,167.054667
den011d,123,20,8.447348,20,0,0,0.000000,167.414667
