mapa,semente,padrao,nivel,n_pivos,pivos_iguais,celulas_comparadas,celulas_diferentes,frac_diferentes,viraram_inalcancaveis,dist_max_aumento
arena2,42,Organic,0.2,50,1,1215550,1118111,0.91984,1083410,68
arena2,42,Organic,0.2,100,1,2431100,2241153,0.921868,2182142,68
arena2,42,Organic,0.3,10,1,243110,225056,0.925737,222141,58
arena2,42,Organic,0.3,20,1,486220,461972,0.95013,458512,46
arena2,42,Organic,0.3,50,1,1215550,1156074,0.951071,1148397,46
arena2,42,Organic,0.3,100,1,2431100,2319615,0.954142,2296570,60
arena2,42,Stochastic,0.1,10,1,243110,162523,0.668516,28208,26
arena2,42,Stochastic,0.1,20,1,486220,367238,0.755292,99389,26
arena2,42,Stochastic,0.1,50,1,1215550,934359,0.768672,204769,28
arena2,42,Stochastic,0.1,100,1,2431100,1843404,0.758259,388421,32
arena2,42,Stochastic,0.2,10,1,243110,219934,0.904669,77832,58
arena2,42,Stochastic,0.2,20,1,486220,452141,0.92991,192937,56
arena2,42,Stochastic,0.2,50,1,1215550,1143503,0.940729,445140,62
arena2,42,Stochastic,0.2,100,1,2431100,2274480,0.935576,817955,62
arena2,42,Stochastic,0.3,10,1,243110,240543,0.989441,175069,124
arena2,42,Stochastic,0.3,20,1,486220,481197,0.989669,334917,128
arena2,42,Stochastic,0.3,50,1,1215550,1204263,0.990714,794788,158
arena2,42,Stochastic,0.3,100,1,2431100,2406982,0.990079,1530067,168
brc000d,42,Radial,0.1,10,1,273860,167978,0.613372,102952,88
brc000d,42,Radial,0.1,20,1,547720,304897,0.556666,157075,122
brc000d,42,Radial,0.1,50,1,1369300,654475,0.477963,295031,108
brc000d,42,Radial,0.1,100,1,2738600,1229978,0.449127,541234,150
brc000d,42,Radial,0.2,10,1,273860,225931,0.824987,169090,118
brc000d,42,Radial,0.2,20,1,547720,414429,0.756644,255123,122
brc000d,42,Radial,0.2,50,1,1369300,942983,0.688661,617619,118
brc000d,42,Radial,0.2,100,1,2738600,1861838,0.67985,1172713,122
brc000d,42,Radial,0.3,10,1,273860,243023,0.887399,202018,110
brc000d,42,Radial,0.3,20,1,547720,459598,0.839111,333299,114
brc000d,42,Radial,0.3,50,1,1369300,1094374,0.799222,797867,114
brc000d,42,Radial,0.3,100,1,2738600,2188690,0.7992,1560502,126
